6114	6950	6440	2831	9087	9264	5347	185	7326	2905
4034	7786	5832	6887	240	9279	4466	4278	8034	2478
7200	4150	2431	374	9495	924	1948	4891	8552	3569
2964	5468	170	1608	9432	7446	4274	4373	9019	9348
1309	1158	6461	3195	9030	8322	7266	5821	440	8522
6019	3657	9124	6398	4063	9302	2067	6083	3795	4444
9502	6838	7478	2702	2888	1235	6114	4318	8085	5853
9737	7386	4225	2724	7468	7889	4780	6251	5507	4412
704	6856	8009	498	1280	1233	9474	3171	930	3022
4395	4231	8093	6684	1243	5847	4396	5883	4197	4471
1846	1071	4362	6151	1464	7012	108	7087	3333	7166
2207	2819	5765	5779	6013	6559	599	8475	902	5592
3627	8498	124	9575	3158	5596	6618	594	7390	1407
9990	9357	9806	8246	5416	9006	1759	581	8590	82
916	5182	266	5175	9875	8848	9339	9855	3637	7288
1771	1899	2698	9344	1744	6757	4681	3385	9945	4160
5467	2684	6107	4365	6035	9207	5925	5515	3469	3714
3889	5096	8624	2440	3675	4140	2575	3209	7718	9245
859	4347	8713	1092	8277	6651	3891	5952	336	8756
3717	1580	2445	1307	6466	3165	2854	6795	2050	864
5776	7921	2615	3112	4654	9569	4862	1623	5478	895
3354	3490	4134	9440	4753	3716	4981	3511	8427	8572
1268	2037	684	659	9378	3338	1143	2473	653	4867
3986	4348	7286	5269	8303	2585	6650	4100	1455	5614
4014	8949	8362	372	4529	947	4629	5221	4852	1568
9972	6844	6467	1851	6377	7888	7565	3588	6501	5743
4637	1560	2405	8452	2021	6901	1536	4234	4793	5770
9241	5395	5726	9618	3658	1085	2597	6468	3880	523
1113	2508	2649	7618	7963	4692	969	9586	5181	2975
548	6623	9960	7585	236	8787	4111	7288	5444	8628
1791	1105	8209	7990	6394	9934	5522	5571	5740	7976
5312	408	4440	9859	7539	4410	8068	8573	8207	4942
2613	4749	2648	8676	8361	923	1560	2637	9627	7778
6284	3674	9021	7621	3829	4290	6376	6914	4886	6510
5108	1410	2713	6298	4876	5118	2992	7795	3780	3129
1120	8094	6528	2099	3107	3964	7371	1852	82	8976
8382	8167	6278	6983	1297	6395	9919	8576	7420	6413
4311	7758	9269	1785	287	4789	9539	1417	4440	8222
9014	9227	5613	7869	907	7540	3737	8249	3036	8072
7124	4279	3334	8164	7079	5460	8785	947	8789	5090
1173	3709	335	7016	245	6616	3311	9600	6896	5614
2515	4532	3232	5093	2357	2802	7164	225	6226	2515
2520	117	7092	2217	90	6278	9576	4126	6684	3468
9529	7568	2923	7305	5029	7674	8830	3360	248	1365
7974	182	4309	4727	6076	1178	1106	9894	7947	7389
7856	1407	8831	483	1156	3377	4342	7659	8954	8315
1317	8732	3443	5519	1755	917	8175	1940	111	3772
6749	8161	7956	6864	4886	589	6460	2809	2456	7204
9404	6927	1656	5580	8002	4347	680	2493	4829	746
9332	1269	7538	8437	2974	2228	1736	3793	6834	7281
9937	9195	5874	5131	6285	519	1752	62	3893	2592
7502	7	7405	379	5567	4449	848	2257	2549	3265
5862	9029	5547	760	1372	8373	2019	4221	9068	607
8886	3005	1496	3124	1016	2198	1230	983	2373	2325
3031	5224	1270	4123	9849	4210	6412	1648	306	7164
9807	1091	7130	9447	9265	5639	5130	8812	4286	6553
2415	114	2097	4056	3909	9592	1884	2752	6780	3061
1625	4574	1543	9935	4343	4201	1099	5436	7780	5837
6353	1523	7986	4	3012	8822	4663	4939	1929	1173
3084	4793	5517	4453	9921	8338	7076	1024	6242	9857
5463	9679	4267	4945	6208	5719	1923	3280	3930	8931
2574	149	7578	9770	3340	1334	9966	9895	235	5946
4609	5783	9716	4463	5178	7009	1000	5636	8465	5939
115	9697	1706	6360	9528	546	5011	5444	8678	8339
660	8527	564	2182	2660	4516	7110	5204	6471	6848
8841	5285	8211	9104	8614	9335	7017	3849	7790	2966
1262	2320	1073	5450	4277	5950	2370	4285	9603	5919
1925	8011	2744	4800	2136	8830	9280	3343	7012	7718
731	8077	1007	4015	8970	8217	9123	3533	2961	9739
9868	7729	2864	8118	5874	1437	8414	1750	2851	2022
6846	8960	4664	815	9519	3754	7825	9902	7852	505
4277	2259	3913	5831	671	2867	8312	3960	5884	8715
2853	7194	1514	2375	3121	2891	9367	5163	1982	6869
3408	2936	350	9380	7033	9887	4839	4231	2337	2728
5209	252	4900	7129	4267	3711	1153	1783	3508	8112
3117	1165	3120	198	8306	4397	5357	8162	1394	9746
4618	1637	9770	6770	7799	3743	3941	8458	2357	4818
9564	9115	6752	6438	9672	8278	8020	2519	9324	1036
1445	629	407	2460	6420	5803	2934	5143	60	4861
7868	3	129	4069	6445	3725	3606	8731	3501	822
5383	4839	9618	7438	5033	3988	4968	3889	4918	253
4970	5928	3943	4553	3289	4493	8295	9657	5843	3871
